"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2022/04/22","26.35","26.55","26.35","26.4","-0.3000000000000007","-1.12","40"
"2022/04/21","26.7","26.7","26.35","26.7","0.05000000000000071","0.19","67"
"2022/04/20","26.75","26.75","26.45","26.65","0","0.00","61"
"2022/04/19","26.8","26.8","26.25","26.65","0.34999999999999787","1.33","49"
"2022/04/18","26.2","26.35","26.2","26.3","0.10000000000000142","0.38","25"
"2022/04/15","26.2","26.35","26.1","26.2","0.05000000000000071","0.19","20"
"2022/04/14","26.5","26.6","26.05","26.15","-0.3500000000000014","-1.32","39"
"2022/04/13","26.5","26.5","26.15","26.5","0.3999999999999986","1.53","109"
"2022/04/12","26","26.15","26","26.1","0","0.00","45"
"2022/04/11","26.55","26.6","26.05","26.1","-0.5","-1.88","150"
"2022/04/08","27","27","26.5","26.6","0.10000000000000142","0.38","18"
"2022/04/07","26.65","26.75","26.5","26.5","-0.25","-0.93","55"
"2022/04/06","26.75","26.85","26.6","26.75","-0.14999999999999858","-0.56","67"
"2022/04/01","26.85","26.9","26.8","26.9","0","0.00","37"
"2022/03/31","26.9","26.95","26.7","26.9","0.09999999999999787","0.37","44"
"2022/03/30","26.65","26.85","26.65","26.8","0.15000000000000213","0.56","26"
"2022/03/29","26.95","26.95","26.6","26.65","-0.15000000000000213","-0.56","95"
"2022/03/28","26.95","26.95","26.65","26.8","-0.1999999999999993","-0.74","107"
"2022/03/25","26.75","27","26.7","27","0.25","0.93","113"
"2022/03/24","26.7","26.8","26.55","26.75","0.05000000000000071","0.19","61"
"2022/03/23","26.7","26.75","26.6","26.7","0.05000000000000071","0.19","58"
"2022/03/22","26.5","26.9","26.5","26.65","0.14999999999999858","0.57","39"
"2022/03/21","26.55","26.6","26.45","26.5","-0.05000000000000071","-0.19","42"
"2022/03/18","26.7","26.95","26.5","26.55","0.15000000000000213","0.57","66"
"2022/03/17","26.7","26.75","26.25","26.4","0.25","0.96","68"
"2022/03/16","26.35","26.35","26.05","26.15","0","0.00","62"
"2022/03/15","26.45","26.5","26.15","26.15","-0.3500000000000014","-1.32","159"
"2022/03/14","26.5","26.85","26.5","26.5","0","0.00","65"
"2022/03/11","26.3","26.75","26.3","26.5","0.05000000000000071","0.19","22"
"2022/03/10","26.45","26.8","26.45","26.45","0.05000000000000071","0.19","68"
"2022/03/09","26.25","26.75","26.25","26.4","0.14999999999999858","0.57","84"
"2022/03/08","27","27","26.25","26.25","-0.3500000000000014","-1.32","58"
"2022/03/07","27","27","26.5","26.6","-0.6999999999999993","-2.56","128"
"2022/03/04","27.2","27.3","26.85","27.3","0.05000000000000071","0.18","57"
"2022/03/03","27.1","27.3","27.1","27.25","0.4499999999999993","1.68","59"
"2022/03/02","26.55","26.9","26.55","26.8","0","0.00","22"
"2022/03/01","26.55","26.85","26.5","26.8","0.10000000000000142","0.37","36"
"2022/02/25","26.6","26.85","26.6","26.7","0.05000000000000071","0.19","58"
"2022/02/24","26.65","27","26.55","26.65","-0.3500000000000014","-1.30","192"
"2022/02/23","26.8","27.1","26.8","27","0.3000000000000007","1.12","56"
"2022/02/22","27","27","26.6","26.7","-0.3500000000000014","-1.29","140"
"2022/02/21","26.95","27.2","26.95","27.05","0","0.00","53"
"2022/02/18","26.95","27.2","26.95","27.05","-0.05000000000000071","-0.18","57"
"2022/02/17","27.45","27.45","27","27.1","-0.09999999999999787","-0.37","83"
"2022/02/16","27","27.3","27","27.2","0.25","0.93","27"
"2022/02/15","27","27.15","26.95","26.95","0","0.00","117"
"2022/02/14","27.5","27.5","26.95","26.95","-0.6999999999999993","-2.53","122"
"2022/02/11","27.25","27.95","27.25","27.65","0.1999999999999993","0.73","83"
"2022/02/10","27.85","27.9","27.45","27.45","-0.1999999999999993","-0.72","106"
"2022/02/09","27.1","27.75","27.1","27.65","0.14999999999999858","0.55","139"
"2022/02/08","27.2","27.6","27.1","27.5","0.3500000000000014","1.29","54"
"2022/02/07","26.7","27.2","26.7","27.15","0.4499999999999993","1.69","48"
"2022/01/26","26.55","26.7","26.4","26.7","0.14999999999999858","0.56","41"
"2022/01/25","26.55","26.65","26.45","26.55","0","0.00","86"
"2022/01/24","26.25","26.7","26.1","26.55","-0.09999999999999787","-0.38","88"
"2022/01/21","26.8","27","26.55","26.65","-0.3000000000000007","-1.11","204"
"2022/01/20","27","27.1","26.9","26.95","-0.15000000000000213","-0.55","73"
"2022/01/19","27.1","27.4","26.95","27.1","-0.3999999999999986","-1.45","230"
"2022/01/18","27.5","27.75","27.45","27.5","-0.14999999999999858","-0.54","176"
"2022/01/17","27.55","27.8","27.5","27.65","0.04999999999999716","0.18","160"
"2022/01/14","27.85","27.85","27.3","27.6","-0.29999999999999716","-1.08","226"
"2022/01/13","28.05","28.1","27.9","27.9","-0.15000000000000213","-0.53","110"
"2022/01/12","28.4","28.4","27.95","28.05","-0.25","-0.88","127"
"2022/01/11","28.45","28.65","28.1","28.3","0.05000000000000071","0.18","279"
"2022/01/10","28.65","28.65","28.1","28.25","-0.3000000000000007","-1.05","163"
"2022/01/07","27.85","28.95","27.65","28.55","0.6999999999999993","2.51","504"
"2022/01/06","28","28.1","27.85","27.85","-0.25","-0.89","197"
"2022/01/05","28.2","28.3","28.05","28.1","-0.29999999999999716","-1.06","98"
"2022/01/04","28.55","28.55","28.2","28.4","-0.05000000000000071","-0.18","93"
"2022/01/03","28.75","28.75","28.35","28.45","-0.10000000000000142","-0.35","66"
"2021/12/30","28.5","28.85","28.5","28.55","0.05000000000000071","0.18","171"
"2021/12/29","28.7","28.7","28.45","28.5","0.05000000000000071","0.18","136"
"2021/12/28","28.35","29.1","28.35","28.45","0.25","0.89","300"
"2021/12/27","28.2","28.3","28.1","28.2","0.05000000000000071","0.18","166"
"2021/12/24","28.2","28.3","28.15","28.15","0","0.00","152"
"2021/12/23","28.4","28.4","28.1","28.15","0.04999999999999716","0.18","194"
"2021/12/22","28.05","28.25","28.05","28.1","0.15000000000000213","0.54","133"
"2021/12/21","28","28","27.85","27.95","0.09999999999999787","0.36","137"
"2021/12/20","28.4","28.45","27.8","27.85","-0.5499999999999972","-1.94","184"
"2021/12/17","28.6","28.6","28.25","28.4","-0.40000000000000213","-1.39","238"
"2021/12/16","28.75","29.45","28.7","28.8","0.3000000000000007","1.05","636"
"2021/12/15","28","28.55","27.9","28.5","0.4499999999999993","1.60","449"
"2021/12/14","28.15","28.3","28","28.05","-0.09999999999999787","-0.36","197"
"2021/12/13","28.1","28.35","28","28.15","0.04999999999999716","0.18","182"
"2021/12/10","28","28.2","27.8","28.1","0","0.00","159"
"2021/12/09","28.2","28.25","27.8","28.1","-0.09999999999999787","-0.35","129"
"2021/12/08","27.8","28.65","27.65","28.2","0.4499999999999993","1.62","451"
"2021/12/07","28.2","28.2","27.7","27.75","-0.1999999999999993","-0.72","114"
"2021/12/06","27.95","28.4","27.6","27.95","0.3999999999999986","1.45","533"
"2021/12/03","27.6","28","27.4","27.55","0.40000000000000213","1.47","304"
"2021/12/02","27.15","27.2","26.5","27.15","0.1999999999999993","0.74","150"
"2021/12/01","26.45","27","26.45","26.95","0.09999999999999787","0.37","61"
"2021/11/30","26.4","27.1","26.4","26.85","0.15000000000000213","0.56","185"
"2021/11/29","26.3","26.7","25.95","26.7","0.09999999999999787","0.38","244"
"2021/11/26","26.7","26.75","26.45","26.6","-0.14999999999999858","-0.56","152"
"2021/11/25","26.7","27.3","26.6","26.75","0.05000000000000071","0.19","52"
"2021/11/24","26.95","27","26.7","26.7","-0.3000000000000007","-1.11","118"
"2021/11/23","27.65","27.65","27","27","-0.6499999999999986","-2.35","147"
"2021/11/22","27.1","27.7","27.1","27.65","0.34999999999999787","1.28","227"
"2021/11/19","27","27.5","26.7","27.3","0.3500000000000014","1.30","383"
"2021/11/18","27.15","27.3","26.7","26.95","0.05000000000000071","0.19","254"
"2021/11/17","27.3","27.35","26.8","26.9","-0.40000000000000213","-1.47","135"
"2021/11/16","27","27.5","26.95","27.3","0.6000000000000014","2.25","426"
"2021/11/15","26.6","26.75","26.4","26.7","0.3000000000000007","1.14","325"
"2021/11/12","26.25","26.5","26","26.4","0.1999999999999993","0.76","262"
"2021/11/11","26.25","26.5","26.05","26.2","0.14999999999999858","0.58","163"
"2021/11/10","26.3","26.35","26.05","26.05","0","0.00","104"
"2021/11/09","26.3","26.3","26.05","26.05","0.40000000000000213","1.56","204"
"2021/11/08","25.8","25.8","25.6","25.65","-0.15000000000000213","-0.58","99"
"2021/11/05","25.9","25.9","25.75","25.8","-0.09999999999999787","-0.39","130"
"2021/11/04","25.95","25.95","25.85","25.9","-0.05000000000000071","-0.19","44"
"2021/11/03","25.9","26","25.85","25.95","0.1999999999999993","0.78","178"
"2021/11/02","25.6","25.95","25.5","25.75","0.1999999999999993","0.78","191"
"2021/11/01","25.3","25.55","25.15","25.55","0.3000000000000007","1.19","66"
"2021/10/29","25.5","25.5","25.25","25.25","-0.10000000000000142","-0.39","71"
"2021/10/28","25.2","25.6","25.2","25.35","0.25","1.00","132"
"2021/10/27","25.1","25.2","25","25.1","0","0.00","40"
"2021/10/26","25.2","25.2","25.05","25.1","0.05000000000000071","0.20","35"
"2021/10/25","25.05","25.1","25.05","25.05","0","0.00","26"
"2021/10/22","25","25.25","25","25.05","0.05000000000000071","0.20","54"
"2021/10/21","24.85","25.1","24.85","25","0.14999999999999858","0.60","80"
"2021/10/20","24.8","25.1","24.8","24.85","0","0.00","30"
"2021/10/19","24.75","24.9","24.65","24.85","0.15000000000000213","0.61","41"
"2021/10/18","24.85","24.85","24.65","24.7","-0.15000000000000213","-0.60","58"
"2021/10/15","24.9","24.95","24.8","24.85","0.05000000000000071","0.20","43"
"2021/10/14","24.95","24.95","24.75","24.8","-0.09999999999999787","-0.40","54"
"2021/10/13","25.15","25.15","24.9","24.9","-0.3000000000000007","-1.19","68"
"2021/10/12","25.3","25.4","25.1","25.2","0","0.00","50"
"2021/10/08","25.2","25.2","25","25.2","0","0.00","50"
