Date	Open	High	Low	Close	Volume('000 shares)	Date
2014/04/10	24.2	24.35	24	24	1366.328	2014/4/10
2014/04/11	23.9	24.6	23.8	24.05	2436.137	2014/4/11
2014/04/14	24.2	24.2	23.5	23.55	1509.428	2014/4/14
2014/04/15	23.6	24.1	23.6	23.8	1171.653	2014/4/15
2014/04/16	23.8	23.95	23.7	23.85	789.969	2014/4/16
2014/04/17	24.1	24.8	24.1	24.5	6023.552	2014/4/17
2014/04/18	24.6	25.35	24.5	24.75	11165.214	2014/4/18
2014/04/21	24.9	25.8	24.7	25.35	15836.694	2014/4/21
2014/04/22	25.75	25.85	24.9	24.95	10480.933	2014/4/22
2014/04/23	25.2	25.25	24.8	24.8	4656.325	2014/4/23
2014/04/24	24.9	25.4	24.75	25.2	6357.428	2014/4/24
2014/04/25	25.45	25.45	23.9	24.35	8119.708	2014/4/25
2014/04/28	23.4	24.05	23.4	23.8	4799.537	2014/4/28
2014/04/29	23.85	24.55	23.85	24.5	2351.677	2014/4/29
2014/04/30	24.5	24.8	24.25	24.45	2749.281	2014/4/30
2014/05/02	24.35	25.1	24.3	24.95	3587.504	2014/5/2
2014/05/05	25	25.35	24.85	25.05	3197.189	2014/5/5
2014/05/06	25.2	25.2	24.8	24.85	1645.217	2014/5/6
2014/05/07	24.8	24.85	24.65	24.75	1289.165	2014/5/7
2014/05/08	24.75	25.6	24.75	25.05	5112.239	2014/5/8
2014/05/09	25.4	25.5	24.7	24.7	3743.177	2014/5/9
2014/05/12	24.75	24.85	24.45	24.7	2735.171	2014/5/12
2014/05/13	24.9	25.1	24.2	24.35	2478.519	2014/5/13
2014/05/14	24.5	24.55	23.6	23.75	4118.633	2014/5/14
2014/05/15	23.75	24.15	23.75	24	2058.468	2014/5/15
2014/05/16	24	24	23.7	24	1251.41	2014/5/16
2014/05/19	24.2	24.2	23.75	23.75	1274.869	2014/5/19
2014/05/20	23.8	24	23.45	23.55	2209.521	2014/5/20
2014/05/21	23.5	23.6	23	23.2	3311.532	2014/5/21
2014/05/22	23.4	23.6	23.3	23.55	1832.915	2014/5/22
2014/05/23	23.55	23.6	23.25	23.35	1409.221	2014/5/23
2014/05/26	23.15	23.35	23.05	23.25	2452.592	2014/5/26
2014/05/27	23.05	23.3	23.05	23.3	1968.201	2014/5/27
2014/05/28	23.3	23.6	23.2	23.6	1431.037	2014/5/28
